,AirLine,country,totalScore,reviews,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage,excellent,veryGood,average,poor,terrible
1,Adria Airways [no longer operating],slovenia,30,674,35,35,25,30,35,30,40,35,25,132,200,134,61,147
2, Advanced Air,united states,45,8,35,40,35,,40,40,40,40,35,6,0,1,0,1
3, AEGEAN,greece,40,12137,40,40,30,40,45,40,45,40,40,6141,3434,961,384,1218
4, Aer Lingus,ireland,35,12179,35,35,30,35,35,35,40,40,35,4429,3272,1622,942,1916
5, Aero Mongolia,mongolia,30,18,30,30,25,10,35,30,35,30,35,3,3,6,1,5
6, Aeroflot,russia,40,20489,40,40,35,35,40,40,45,40,40,10564,4384,1917,992,2634
7, Aerogaviota,cuba,30,30,30,30,20,25,30,25,35,30,30,5,7,9,2,7
8, Aerolinea de Antioquia,colombia,25,14,25,25,15,10,25,25,40,25,25,3,1,2,3,5
9, Aerolineas Argentinas,argentina,40,15158,30,35,30,35,40,35,40,40,30,4456,5592,3191,1007,915
10, Aeromar,mexico,30,428,35,35,20,30,35,35,40,35,30,112,108,38,34,136
11, Aeromexico,mexico,35,10842,35,35,35,35,35,35,40,35,35,3040,2919,1733,908,2242
12, Africa World Airlines,ghana,30,51,35,35,25,45,35,40,40,35,30,14,13,6,4,14
13, African Express Airways,kenya,35,17,35,30,20,40,35,30,30,30,25,3,6,4,1,3
14, Afriqiyah Airways,libya,25,10,35,30,25,30,30,20,30,25,25,0,2,2,3,3
15, Aigle Azur [no longer operating],france,25,748,25,30,20,25,30,30,35,30,25,94,152,105,68,329
16, Air Algerie,algeria,25,506,30,25,15,20,25,25,25,25,25,46,87,85,79,209
17, Air Antilles,french guiana,20,247,25,25,15,20,20,25,30,25,25,20,20,15,31,162
18, Air Arabia,united arab emirates,30,2243,30,30,20,25,30,35,35,30,25,426,487,305,152,874
19, Air Astana,kazakhstan,40,1524,40,40,40,40,45,40,45,40,45,881,329,105,64,145
20, Air Austral,reunion,35,1524,35,35,35,35,35,35,40,40,35,399,505,189,127,304
21, Air Bagan,myanmar,30,8,30,30,25,,30,30,30,25,30,0,2,4,1,1
22, Air Baltic,latvia,35,15424,35,35,20,30,35,35,40,35,30,5003,4157,2593,1587,2085
23, Air Belgium,belgium,35,42,45,40,35,40,40,40,45,40,35,18,8,5,3,8
24, air berlin [no longer operating],germany,30,4137,30,30,25,25,30,30,35,30,25,610,1025,878,569,1055
25, Air Botswana,botswana,30,120,35,35,20,30,35,30,35,35,30,13,40,30,13,24
26, Air Burkina,burkina faso,35,27,35,35,20,45,35,30,35,30,30,4,10,7,2,4
27, Air Busan,korea,40,319,40,35,20,30,35,40,40,40,30,115,136,45,5,18
28, Air Cairo,egypt,30,1433,35,30,15,30,30,30,35,35,30,235,330,259,209,401
29, Air Canada,canada,30,27154,25,25,15,25,30,30,30,30,30,5941,7423,5030,3132,5634
30, Air Canada Rouge,canada,30,7786,35,35,35,30,35,30,35,35,30,865,1736,2047,1622,1516
31, Air Caraibes,guadeloupe,30,2813,25,25,20,25,30,30,35,35,25,566,821,448,288,691
32, Air Century,dominica,25,39,30,30,35,30,35,35,40,35,35,11,2,0,2,24
33, Air Changan,china,40,1,30,30,20,50,25,25,30,25,25,0,1,0,0,0
34, Air Chathams,new zealand,45,96,20,20,10,,40,50,30,30,10,71,17,3,0,5
35, Air China,china,30,5962,40,40,20,50,50,45,45,45,40,872,1678,1428,774,1210
36, Air Choice One,united states,35,128,30,30,25,30,30,35,35,35,30,71,17,5,3,32
37, Air Corsica,france,35,629,45,45,25,45,40,45,45,40,25,230,202,59,39,99
38, Air Costa (no longer operating),india,30,37,35,35,25,35,35,35,40,40,35,5,15,2,2,13
39, Air Cote d Ivoire,ivory Coast,30,75,35,40,20,40,35,35,40,35,30,7,29,14,6,19
40, Air Do,japan,40,148,35,35,25,35,40,35,35,35,30,31,71,40,6,0
41, Air Dolomiti,italy,40,971,35,35,25,40,40,40,40,40,40,384,353,106,49,79
42, Air Europa,spain,30,10745,30,30,25,25,30,30,35,35,25,1491,2547,2333,1604,2771
43, Air Flamenco,puerto rico,35,32,35,30,25,40,35,40,35,30,25,13,6,2,3,8
44, Air France,france,35,33041,35,35,35,35,35,35,40,35,35,8493,10517,5695,3293,5047
45, Air Greenland,greenland,35,156,35,35,25,35,40,30,40,40,35,50,50,25,14,17
46, Air Guilin,china,25,3,50,30,10,,30,40,20,40,,1,0,0,1,1
47, Air Iceland Connect (**this is not Icelandair**),iceland,40,202,40,40,35,40,40,40,45,45,35,86,66,25,13,12
48, Air India,india,30,8293,35,35,25,30,30,35,35,35,35,1534,2261,1589,950,1959
49, Air India Express,india,30,434,30,25,15,25,30,30,30,30,25,50,109,96,49,130
50, Air Italy [no longer operating],italy,30,3776,30,30,25,30,30,30,35,35,30,667,940,668,526,975
51, Air Juan,philiphines,15,136,25,20,20,25,15,20,20,20,10,17,4,1,2,112
52, AIR KBZ (Air Kanbawza),myanmar,40,376,35,35,20,40,40,40,40,40,35,131,187,44,10,4
53, Air Kiribati,kiribati,30,1,30,30,10,,40,30,30,40,30,0,0,1,0,0
54, Air Koryo,north korea,35,80,35,35,25,35,35,35,40,40,25,18,23,27,7,5
55, Air Kyrgyzstan,kyrgyzstan,30,6,30,30,25,,30,35,30,25,25,0,3,1,2,0
56, Air Macau,china,30,202,30,30,20,30,30,35,35,30,30,24,62,72,18,26
57, Air Madagascar,madagascar,25,389,30,30,20,30,30,25,35,30,25,39,88,71,49,142
58, Air Malta,malta,35,2837,35,35,20,30,35,35,40,40,30,766,861,519,243,448
59, Air Manas,kyrgyzstan,35,15,40,40,20,45,40,45,45,40,35,3,7,2,0,3
60, Air Mauritius,mauritius,35,2406,35,35,30,30,35,35,40,40,35,623,746,447,259,331
61, Air Mediterranean,greece,20,211,25,25,15,20,25,25,25,25,20,14,30,39,39,89
62, Air Moldova,moldova,30,367,30,30,20,25,30,30,35,35,35,71,83,46,31,136
63, Air Namibia,namibia,30,757,35,35,25,25,35,30,35,35,35,129,219,152,98,159
64, Air New Zealand,new zealand,45,13534,40,40,40,40,45,40,45,45,40,7790,3310,1222,585,627
65, Air Niugini,guinea,35,210,35,35,30,40,35,30,35,35,30,44,74,36,26,30
66, Air North (Canada),canada,45,286,40,40,25,50,50,45,45,45,45,239,33,2,2,10
67, Air Nostrum,spain,35,476,35,35,20,30,35,35,40,35,25,93,203,88,45,47
68, Air Panama,panama,30,211,35,30,20,25,30,30,35,30,30,35,62,37,32,45
69, Air Peace,niger,20,71,30,30,15,30,25,25,30,25,20,2,12,12,9,36
70, Air Pegasus (no longer operating),india,35,123,30,30,20,25,35,35,40,35,30,29,37,24,15,18
71, Air Rarotonga,cook islands,45,55,40,35,25,45,45,40,40,45,35,29,17,8,1,0
72, Air Saint Pierre,france,45,8,35,35,30,,45,35,40,45,30,4,2,2,0,0
73, Air Senegal,senegal,20,147,35,30,30,35,30,30,35,30,30,19,23,11,14,80
74, Air Seoul,korea,35,200,40,40,25,30,35,40,40,35,30,44,90,30,12,24
75, Air Serbia,serbia,30,1900,35,35,20,30,35,35,40,35,30,486,422,248,190,555
76, Air Seychelles,seychelles,30,696,30,30,30,30,30,35,35,35,30,131,199,148,69,149
77, Air Tahiti,french polynesia,35,1642,35,35,35,35,40,35,40,40,35,507,518,277,150,190
78, Air Tahiti Nui,french polynesia,35,1642,35,35,35,35,40,35,40,40,35,507,518,277,150,190
79, Air Transat,canada,35,11380,30,30,30,30,35,35,40,40,30,2752,3393,2194,1274,1767
80, Air Vanuatu,vanuatu,40,420,35,35,25,35,40,40,40,40,35,135,164,57,25,39
81, Air VIA [no longer operating],bulgaria,20,85,30,30,15,20,25,30,35,30,30,12,10,8,7,48
82, Air Zimbabwe,zimbabwe,25,65,30,30,15,20,25,25,30,25,25,3,11,17,10,24
83, AirAsia - AirAsia Berhad (Malaysia),malaysia,35,3476,30,30,20,30,35,40,35,35,30,716,1230,752,295,484
84, AirAsia - AirAsia India,india,30,1080,30,30,20,30,30,35,35,35,30,174,282,193,88,343
85, AirAsia - AirAsia Japan,indonesia,30,92,30,30,20,25,30,40,35,30,25,11,27,21,6,27
86, AirAsia - AirAsia X Berhad (Malaysia),malaysia,35,1821,30,30,20,30,35,40,35,35,30,374,689,405,153,200
87, AirAsia - Indonesia AirAsia,indonesia,35,2517,30,35,20,30,35,40,40,40,30,656,995,471,145,250
88, AirAsia - Philippines AirAsia,philiphines,30,957,30,30,20,25,30,35,35,35,25,138,279,221,103,217
89, AirAsia - Thai AirAsia,thailand,35,6005,30,30,20,30,35,35,40,35,25,1366,1941,1050,439,1209
90, AirAsia - Thai AirAsia X,thailand,35,215,30,30,20,30,30,35,35,30,25,39,83,39,20,34
91, Airblue,pakistan,25,73,30,30,20,30,30,35,35,35,35,9,22,7,6,29
92, Aircalin,new caledonia,35,361,35,35,30,35,40,30,40,40,35,94,128,83,26,30
93, AirKenya Express,kenya,35,22,35,35,30,25,40,35,40,45,30,6,9,1,2,4
94, Airlink,south africa,40,423,35,40,20,40,40,35,40,40,35,164,145,46,16,52
95, Airnorth (Australia),australia,35,249,40,40,20,40,40,35,40,40,35,121,42,23,17,46
96, AirSWIFT,philiphines,35,322,35,35,20,35,35,30,40,35,30,110,79,24,16,93
97, Alaska Airlines,united states,40,16568,40,40,35,40,45,40,45,45,35,9042,4023,1303,737,1467
98, Alaska Seaplanes,united states,45,36,40,40,35,45,45,45,45,45,35,28,5,1,0,2
99, Alba Star,spain,30,930,25,30,20,30,30,30,30,30,25,143,226,204,122,235
100, Alexandria Airlines,egypt,35,2,35,25,10,,25,30,10,35,10,0,1,1,0,0
101, Alitalia,italy,30,20162,30,30,25,30,35,30,35,35,30,4056,5720,3989,2520,3877
102, Allegiant Air,united states,35,10654,30,30,15,30,35,40,40,40,25,3066,2774,1511,783,2519
103, Alliance Airlines,australia,35,95,35,35,20,30,40,35,40,40,35,30,28,16,5,16
104, AlMasria Universal,egypt,20,236,20,20,15,25,25,25,25,30,20,14,36,42,35,109
