,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
1, Advanced Air,35,40,35,,40,40,40,40,35
2, Air Bagan,30,30,25,,30,30,30,25,30
3, Air Changan,20,20,10,,40,50,30,30,10
4, Air Kiribati,30,30,10,,40,30,30,40,30
5, Air Kyrgyzstan,30,30,25,,30,35,30,25,25
6, Air Saint Pierre,35,35,30,,45,35,40,45,30
7, Alexandria Airlines,35,25,10,,25,30,10,35,10
8, Angara Airlines,35,35,20,,40,35,40,40,35
9, Aztec Airways,40,40,40,,50,40,40,50,45
10, China Express Airlines,40,45,35,,40,50,40,45,35
11, Chongqing Airlines,25,30,20,,30,30,35,25,30
12, Citywing [no longer operating],40,40,25,,40,40,40,40,10
13, Dalian Airlines,35,35,20,,35,45,40,35,30
14, Eritrean Airlines,35,35,25,,50,45,45,50,45
15, FLYBOSNIA,20,20,15,,15,25,25,20,25
16, FlyPelican,35,40,20,,40,35,40,40,25
17, Great Dane,40,40,25,,45,45,45,45,40
18, Groupe Transair,35,35,25,,45,30,40,45,40
19, Hunnu Air,30,35,25,,35,35,40,35,35
20, IBC Airways,30,40,40,,30,40,50,50,30
21, Jetways Airlines,30,30,30,,10,20,30,10,30
22, Kenya [NOT Jet Airways of India],30,30,30,,10,20,30,10,30
23, Joy Air,30,30,10,,35,30,30,35,20
24, Jubba Airways,35,35,20,,30,35,30,35,35
25, Kunming Airlines,30,35,25,,40,35,40,40,30
26, Longjiang - LJ Air,40,40,10,,20,10,40,10,10
27, MyWay Airlines,35,30,20,,30,35,40,35,35
28, Nesma Airlines Egypt,35,35,35,,40,40,40,40,35
29, Pascan,25,30,20,,45,45,45,50,25
30, Ruili Airlines,35,40,20,,40,35,40,40,35
31, Shree,40,40,30,,45,50,45,50,40
32, SprintAir (Polish airline),30,30,20,,30,35,35,40,25
33, Suparna Airlines,40,40,20,,45,40,45,45,40
34, Tiara Air Aruba,25,25,15,,20,20,20,25,15
35, Tropic Ocean Airways,45,45,30,,50,35,50,50,50
36, Tsaradia,35,35,20,,40,25,40,35,25
37, Urumqi Air,30,15,10,,25,25,30,35,20
38, Yemenia,35,35,25,,25,25,30,25,35
