,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
,Adria Airways [no longer operating],35,35,25,30,35,30,40,35,25
1,Advanced Air,35,40,35,,40,40,40,40,35
5,AEGEAN,40,40,30,40,45,40,45,40,40
2,Aer Lingus,35,35,30,35,35,35,40,40,35
5,Aero Mongolia,30,30,25,10,35,30,35,30,35
3,Aeroflot,40,40,35,35,40,40,45,40,40
6,Aerogaviota,30,30,20,25,30,25,35,30,30
7,Aerolinea de Antioquia,25,25,15,10,25,25,40,25,25
8,Aerolineas Argentinas,30,35,30,35,40,35,40,40,30
8,Aeromar,35,35,20,30,35,35,40,35,30
9,Aeromexico,35,35,35,35,35,35,40,35,35
10,Africa World Airlines,35,35,25,45,35,40,40,35,30
11,African Express Airways,35,30,20,40,35,30,30,30,25
12,Afriqiyah Airways,35,30,25,30,30,20,30,25,25
13,Aigle Azur [no longer operating],25,30,20,25,30,30,35,30,25
14,Air Algerie,30,25,15,20,25,25,25,25,25
15,Air Antilles,25,25,15,20,20,25,30,25,25
16,Air Arabia,30,30,20,25,30,35,35,30,25
9,Air Astana,40,40,40,40,45,40,45,40,45
10,Air Austral,35,35,35,35,35,35,40,40,35
2,Air Bagan,30,30,25,,30,30,30,25,30
17,Air Baltic,35,35,20,30,35,35,40,35,30
18,Air Belgium,45,40,35,40,40,40,45,40,35
19,air berlin [no longer operating],30,30,25,25,30,30,35,30,25
20,Air Botswana,35,35,20,30,35,30,35,35,30
21,Air Burkina,35,35,20,45,35,30,35,30,30
22,Air Busan,40,35,20,30,35,40,40,40,30
31,Air C?te d Ivoire,35,30,15,30,30,30,35,35,30
23,Air Cairo,25,25,15,25,30,30,30,30,30
11,Air Canada,35,35,35,30,35,30,35,35,30
24,Air Canada Rouge,25,25,20,25,30,30,35,35,25
25,Air Caraibes,30,30,35,30,35,35,40,35,35
26,Air Century,30,30,20,50,25,25,30,25,25
3,Air Changan,20,20,10,,40,50,30,30,10
27,Air Chathams,40,40,20,50,50,45,45,45,40
28,Air China,30,30,25,30,30,35,35,35,30
29,Air Choice One,45,45,25,45,40,45,45,40,25
12,Air Corsica,35,35,25,35,35,35,40,40,35
30,Air Costa (no longer operating),35,40,20,40,35,35,40,35,30
13,Air Dolomiti,35,35,25,40,40,40,40,40,40
14,Air Dolomiti,35,35,25,40,40,40,40,40,40
32,Air Europa,30,30,25,25,30,30,35,35,25
33,Air Flamenco,35,30,25,40,35,40,35,30,25
34,Air France,35,35,35,35,35,35,40,35,35
35,Air Greenland,35,35,25,35,40,30,40,40,35
15,Air Guilin,50,30,10,,30,40,20,40,
36,Air Iceland Connect (**this is not Icelandair**),40,40,35,40,40,40,45,45,35
37,Air India,35,35,25,30,30,35,35,35,35
38,Air India Express,30,25,15,25,30,30,30,30,25
39,Air Italy [no longer operating],30,30,25,30,30,30,35,35,30
40,Air Juan,25,20,20,25,15,20,20,20,10
16,AIR KBZ (Air Kanbawza),35,35,20,40,40,40,40,40,35
4,Air Kiribati,30,30,10,,40,30,30,40,30
41,Air Koryo,35,35,25,35,35,35,40,40,25
